away_team,away_goals,home_team,home_goals,date
,,,,1919-03-06
,,,,1919-03-08
,,,,1919-03-09
,,,,1919-03-10
,,,,1919-03-11
,,,,1919-03-12
,,,,1919-03-13
,,,,1919-03-14
,,,,1919-03-15
,,,,1919-03-16
,,,,1919-03-17
,,,,1919-03-18
,,,,1919-03-19
,,,,1919-03-20
,,,,1919-03-21
,,,,1919-03-22
,,,,1919-03-23
,,,,1919-03-24
,,,,1919-03-25
,,,,1919-03-26
,,,,1919-03-27
,,,,1919-03-28
,,,,1919-03-29
,,,,1919-03-30
,,,,1919-03-31
,,,,1919-04-01
,,,,1919-04-02
,,,,1919-04-03
,,,,1919-04-04
,,,,1919-04-05
,,,,1919-04-06
,,,,1919-04-07
,,,,1919-04-08
,,,,1919-04-09
,,,,1919-04-10
,,,,1919-04-11
,,,,1919-04-12
,,,,1919-04-13
,,,,1919-04-14
,,,,1919-04-15
,,,,1919-04-16
,,,,1919-04-17
,,,,1919-04-18
,,,,1919-04-19
,,,,1919-04-20
,,,,1919-04-21
,,,,1919-04-22
,,,,1919-04-23
,,,,1919-04-24
,,,,1919-04-25
,,,,1919-04-26
,,,,1919-04-27
,,,,1919-04-28
,,,,1919-04-29
,,,,1919-04-30
,,,,1919-05-01
,,,,1919-05-02
,,,,1919-05-03
,,,,1919-05-04
,,,,1919-05-05
,,,,1919-05-06
,,,,1919-05-07
,,,,1919-05-08
,,,,1919-05-09
,,,,1919-05-10
,,,,1919-05-11
,,,,1919-05-12
,,,,1919-05-13
,,,,1919-05-14
,,,,1919-05-15
,,,,1919-05-16
,,,,1919-05-17
,,,,1919-05-18
,,,,1919-05-19
,,,,1919-05-20
,,,,1919-05-21
,,,,1919-05-22
,,,,1919-05-23
,,,,1919-05-24
,,,,1919-05-25
,,,,1919-05-26
,,,,1919-05-27
,,,,1919-05-28
,,,,1919-05-29
,,,,1919-05-30
,,,,1919-05-31
,,,,1919-06-01
,,,,1919-06-02
,,,,1919-06-03
,,,,1919-06-04
,,,,1919-06-05
,,,,1919-06-06
,,,,1919-06-07
,,,,1919-06-08
,,,,1919-06-09
,,,,1919-06-10
,,,,1919-06-11
,,,,1919-06-12
,,,,1919-06-13
,,,,1919-06-14
,,,,1919-06-15
,,,,1919-06-16
,,,,1919-06-17
,,,,1919-06-18
,,,,1919-06-19
,,,,1919-06-20
,,,,1919-06-21
,,,,1919-06-22
,,,,1919-06-23
,,,,1919-06-24
,,,,1919-06-25
,,,,1919-06-26
,,,,1919-06-27
,,,,1919-06-28
,,,,1919-06-29
,,,,1919-06-30
,,,,1919-07-01
,,,,1919-10-02
,,,,1919-10-03
,,,,1919-10-04
,,,,1919-10-05
,,,,1919-10-06
,,,,1919-10-07
,,,,1919-10-08
,,,,1919-10-09
,,,,1919-10-10
,,,,1919-10-11
,,,,1919-10-12
,,,,1919-10-13
,,,,1919-10-14
,,,,1919-10-15
,,,,1919-10-16
,,,,1919-10-17
,,,,1919-10-18
,,,,1919-10-19
,,,,1919-10-20
,,,,1919-10-21
,,,,1919-10-22
